section,prefix,destination_schema,table_name,detail_1,detail_2,detail_3
TABLES_MISSING,cms,cms,cms_artigo,,,
TABLES_MISSING,cms,cms,cms_cabecalho_historico,,,
TABLES_MISSING,cms,cms,cms_cabecalho_link_extra,,,
TABLES_MISSING,cms,cms,cms_cabecalho_workflow,,,
TABLES_MISSING,cms,cms,cms_card_informativo,,,
TABLES_MISSING,cms,cms,cms_configuracao_cabecalho,,,
TABLES_MISSING,cms,cms,cms_configuracao_portal,,,
TABLES_MISSING,cms,cms,cms_configuracao_visual,,,
TABLES_MISSING,cms,cms,cms_fontawesome_icon,,,
TABLES_MISSING,cms,cms,cms_menu,,,
TABLES_MISSING,cms,cms,cms_noticia,,,
TABLES_MISSING,reabilita,cadfuncional,reabilita_atendimento_clinico,,,
TABLES_MISSING,reabilita,cadfuncional,reabilita_atendimento_saude,,,
TABLES_MISSING,reabilita,cadfuncional,reabilita_avaliacao_fisioterapia_sred,,,
TABLES_MISSING,reabilita,cadfuncional,reabilita_evolucao_multidisciplinar,,,
TABLES_MISSING,reabilita,cadfuncional,reabilita_ldap_config,,,
TABLES_MISSING,reabilita,cadfuncional,reabilita_registro,,,
TABLES_MISSING,reabilita,cadfuncional,reabilita_usuario_perfil,,,
