section,prefix,destination_schema,table_name,detail_1,detail_2,detail_3
FK_IN,cms,cms,cms_configuracao_cabecalho,cms_cabecalho_link_e_configuracao_id_affcf5a6_fk_cms_confi,public.cms_cabecalho_link_extra,public.cms_configuracao_cabecalho
FK_IN,cms,cms,cms_menu,cms_menu_parent_id_0464dd90_fk_cms_menu_id,public.cms_menu,public.cms_menu
FK_IN,reabilita,cadfuncional,reabilita_atendimento_saude,reabilita_avaliacao__atendimento_id_c1054d94_fk_reabilita,public.reabilita_avaliacao_fisioterapia_sred,public.reabilita_atendimento_saude
FK_IN,reabilita,cadfuncional,reabilita_atendimento_saude,reabilita_evolucao_m_atendimento_id_18bbe159_fk_reabilita,public.reabilita_evolucao_multidisciplinar,public.reabilita_atendimento_saude
FK_OUT,cms,cms,cms_cabecalho_historico,cms_cabecalho_histor_actor_id_303a80ea_fk_usuarios_,public.cms_cabecalho_historico,public.usuarios_usuario
FK_OUT,cms,cms,cms_cabecalho_link_extra,cms_cabecalho_link_e_configuracao_id_affcf5a6_fk_cms_confi,public.cms_cabecalho_link_extra,public.cms_configuracao_cabecalho
FK_OUT,cms,cms,cms_cabecalho_workflow,cms_cabecalho_workfl_homologado_por_id_1e2ab53b_fk_usuarios_,public.cms_cabecalho_workflow,public.usuarios_usuario
FK_OUT,cms,cms,cms_cabecalho_workflow,cms_cabecalho_workflow_autor_id_b10e2ba8_fk_usuarios_usuario_id,public.cms_cabecalho_workflow,public.usuarios_usuario
FK_OUT,cms,cms,cms_menu,cms_menu_parent_id_0464dd90_fk_cms_menu_id,public.cms_menu,public.cms_menu
FK_OUT,cms,cms,cms_noticia,cms_noticia_autor_id_b019f43f_fk_usuarios_usuario_id,public.cms_noticia,public.usuarios_usuario
FK_OUT,cms,cms,cms_noticia,cms_noticia_homologado_por_id_e2984b56_fk_usuarios_usuario_id,public.cms_noticia,public.usuarios_usuario
